cod_usuario,data_cadastro,faixa_etaria,cidade,estado
78439,08/08/2018,Entre 22 a 27 anos,Rio Branco do Sul,Paraná
78473,22/03/2018,Mais de 70 anos,Itanhaém,São Paulo
78492,21/07/2018,Mais de 70 anos,Cajuri,Minas Gerais
78531,10/07/2018,Entre 28 a 36 anos,Novo Airão,Amazonas
78580,10/01/2021,Entre 37 a 49 anos,Três Arroios,Rio Grande do Sul
78598,09/04/2018,Entre 37 a 49 anos,Taguatinga,Tocantins
78708,28/07/2019,Mais de 70 anos,Bom Repouso,Minas Gerais
78746,17/11/2018,Entre 22 a 27 anos,Sardoá,Minas Gerais
78901,22/03/2020,Entre 62 a 70 anos,São Francisco de Assis do Piauí,Piauí
78916,25/09/2019,Entre 22 a 27 anos,Engenho Velho,Rio Grande do Sul
79006,28/06/2019,Entre 16 a 21 anos,Bonfim,Roraima
79017,14/08/2019,Entre 16 a 21 anos,Doutor Severiano,Rio Grande do Norte
79052,29/05/2018,Entre 62 a 70 anos,Pintadas,Bahia
79061,26/01/2021,Entre 37 a 49 anos,Corumbá,Mato Grosso do Sul
79072,17/05/2020,Entre 37 a 49 anos,Caconde,São Paulo
79252,24/05/2018,Mais de 70 anos,Jandira,São Paulo
79290,11/12/2019,Entre 37 a 49 anos,São Miguel dos Milagres,Alagoas
79295,30/05/2019,Mais de 70 anos,São João Batista,Maranhão
79309,29/03/2019,Entre 62 a 70 anos,Jordão,Acre
79365,07/12/2019,Entre 16 a 21 anos,Imbé,Rio Grande do Sul
79427,08/06/2021,Entre 50 a 61 anos,Indiavaí,Mato Grosso
79429,15/03/2021,Entre 10 a 15 anos,Itaúna,Minas Gerais
79436,08/09/2018,Mais de 70 anos,Novo Alegre,Tocantins
79571,31/07/2018,Entre 62 a 70 anos,Nova Mutum,Mato Grosso
79656,25/01/2021,Entre 16 a 21 anos,Serra do Ramalho,Bahia
79700,22/05/2021,Mais de 70 anos,Xexéu,Pernambuco
79760,29/01/2019,Mais de 70 anos,Mascote,Bahia
79765,08/03/2018,Entre 62 a 70 anos,São Francisco,Minas Gerais
79817,10/10/2019,Entre 28 a 36 anos,Rio do Fogo,Rio Grande do Norte
79856,01/09/2018,Entre 22 a 27 anos,Santa Brígida,Bahia
79934,26/12/2018,Entre 10 a 15 anos,Canindé,Ceará
79977,11/04/2020,Entre 16 a 21 anos,Arauá,Sergipe
80076,11/12/2019,Mais de 70 anos,Icatu,Maranhão
80094,14/08/2019,Entre 28 a 36 anos,Lagoa Salgada,Rio Grande do Norte
80107,05/09/2020,Mais de 70 anos,Riachão do Poço,Paraíba
80131,09/08/2020,Entre 22 a 27 anos,Itaguaçu da Bahia,Bahia
80188,09/12/2018,Entre 22 a 27 anos,Sobrália,Minas Gerais
80279,12/10/2020,Entre 10 a 15 anos,Matinha,Maranhão
80292,16/06/2021,Entre 50 a 61 anos,Itacambira,Minas Gerais
80335,27/03/2020,Entre 16 a 21 anos,Campanário,Minas Gerais
80364,27/10/2018,Entre 37 a 49 anos,Pato Bragado,Paraná
80405,26/09/2020,Entre 16 a 21 anos,Ubiratã,Paraná
80524,23/08/2018,Entre 37 a 49 anos,Aral Moreira,Mato Grosso do Sul
80539,12/05/2018,Entre 37 a 49 anos,Brás Pires,Minas Gerais
80588,11/05/2018,Entre 16 a 21 anos,Governador Eugênio Barros,Maranhão
80591,23/06/2018,Entre 37 a 49 anos,Barão de Melgaço,Mato Grosso
80637,14/07/2021,Entre 28 a 36 anos,Itanhangá,Mato Grosso
80657,05/01/2020,Mais de 70 anos,Conceição do Lago-Açu,Maranhão
80683,02/06/2021,Entre 10 a 15 anos,Dionísio Cerqueira,Santa Catarina
80684,29/06/2021,Entre 22 a 27 anos,Colinas,Maranhão
80781,10/03/2020,Entre 22 a 27 anos,Ametista do Sul,Rio Grande do Sul
80818,27/02/2018,Entre 22 a 27 anos,Salvador das Missões,Rio Grande do Sul
80848,11/12/2018,Entre 50 a 61 anos,Novo Brasil,Goiás
80934,06/07/2021,Entre 22 a 27 anos,Mara Rosa,Goiás
80939,06/10/2018,Entre 37 a 49 anos,Rio das Flores,Rio de Janeiro
81116,22/07/2021,Entre 28 a 36 anos,Araçuaí,Minas Gerais
81169,02/06/2021,Entre 16 a 21 anos,Tupãssi,Paraná
81206,10/02/2020,Entre 10 a 15 anos,Senador Elói de Souza,Rio Grande do Norte
81245,20/05/2021,Entre 37 a 49 anos,Canhoba,Sergipe
81258,19/09/2019,Mais de 70 anos,Belo Campo,Bahia
81261,17/05/2018,Entre 37 a 49 anos,Vicência,Pernambuco
81275,03/12/2020,Entre 62 a 70 anos,Salvador,Bahia
81380,26/05/2020,Mais de 70 anos,Sumaré,São Paulo
81381,21/07/2018,Entre 28 a 36 anos,Franco da Rocha,São Paulo
81458,20/05/2018,Entre 16 a 21 anos,Quadra,São Paulo
81472,04/07/2020,Entre 10 a 15 anos,Utinga,Bahia
81520,14/07/2020,Entre 16 a 21 anos,Porto Barreiro,Paraná
81552,14/11/2019,Entre 10 a 15 anos,Monte Carlo,Santa Catarina
81644,09/05/2021,Entre 10 a 15 anos,Santa Rita do Sapucaí,Minas Gerais
81652,02/12/2018,Entre 62 a 70 anos,Crisópolis,Bahia
81676,31/08/2019,Entre 28 a 36 anos,Marzagão,Goiás
81778,31/03/2021,Entre 10 a 15 anos,São Francisco do Piauí,Piauí
81785,20/07/2018,Entre 62 a 70 anos,Americano do Brasil,Goiás
81818,23/08/2020,Entre 22 a 27 anos,Rio dos Índios,Rio Grande do Sul
81819,12/07/2020,Mais de 70 anos,Nova Olinda,Tocantins
81874,18/11/2019,Entre 10 a 15 anos,Paracatu,Minas Gerais
81908,29/10/2018,Entre 37 a 49 anos,Rio do Prado,Minas Gerais
81917,13/01/2020,Entre 16 a 21 anos,Cornélio Procópio,Paraná
81919,22/02/2020,Entre 10 a 15 anos,Piranhas,Alagoas
82013,16/02/2019,Entre 28 a 36 anos,Bandeira do Sul,Minas Gerais
82189,29/07/2020,Entre 22 a 27 anos,Divino de São Lourenço,Espírito Santo
82192,13/12/2020,Entre 22 a 27 anos,Camanducaia,Minas Gerais
82197,12/12/2019,Entre 10 a 15 anos,Romaria,Minas Gerais
82227,18/03/2021,Entre 62 a 70 anos,Nazaré Paulista,São Paulo
82230,31/07/2018,Mais de 70 anos,Dueré,Tocantins
82305,11/06/2021,Entre 16 a 21 anos,Douradina,Mato Grosso do Sul
82348,27/05/2018,Entre 22 a 27 anos,Novo Tiradentes,Rio Grande do Sul
82414,09/06/2020,Entre 28 a 36 anos,Vila Boa,Goiás
82484,26/06/2019,Entre 50 a 61 anos,Divisa Alegre,Minas Gerais
82526,16/05/2019,Entre 22 a 27 anos,Capetinga,Minas Gerais
82532,08/06/2019,Entre 28 a 36 anos,São José,Santa Catarina
82620,02/06/2019,Entre 62 a 70 anos,Cianorte,Paraná
82675,30/06/2019,Mais de 70 anos,Orobó,Pernambuco
82697,14/10/2019,Entre 16 a 21 anos,São Francisco de Paula,Rio Grande do Sul
82760,05/02/2019,Entre 16 a 21 anos,Jaguaré,Espírito Santo
82762,20/02/2018,Entre 10 a 15 anos,Sapucaia do Sul,Rio Grande do Sul
82803,06/03/2018,Entre 62 a 70 anos,Putinga,Rio Grande do Sul
82833,11/02/2020,Entre 10 a 15 anos,Porto União,Santa Catarina
82864,12/12/2020,Entre 37 a 49 anos,Butiá,Rio Grande do Sul
82889,25/12/2019,Mais de 70 anos,Itati,Rio Grande do Sul
83052,27/12/2019,Entre 50 a 61 anos,Duas Barras,Rio de Janeiro
83053,28/03/2021,Entre 62 a 70 anos,São Paulo do Potengi,Rio Grande do Norte
83115,01/07/2018,Entre 10 a 15 anos,Campos Altos,Minas Gerais
83156,16/10/2020,Entre 16 a 21 anos,Vargem Grande do Sul,São Paulo
83177,06/09/2019,Entre 16 a 21 anos,Brejinho,Pernambuco
83211,25/04/2021,Entre 37 a 49 anos,Urucuia,Minas Gerais
83219,08/01/2021,Mais de 70 anos,Guaraniaçu,Paraná
83263,04/06/2020,Entre 16 a 21 anos,Presidente Médici,Maranhão
83298,20/04/2021,Mais de 70 anos,São Carlos,São Paulo
83396,18/04/2019,Entre 28 a 36 anos,Araioses,Maranhão
83402,28/10/2019,Entre 50 a 61 anos,Santa Clara do Sul,Rio Grande do Sul
83478,18/02/2018,Entre 22 a 27 anos,Pilões,Rio Grande do Norte
83522,18/04/2018,Entre 10 a 15 anos,Miranorte,Tocantins
83553,26/01/2018,Entre 50 a 61 anos,Brasilândia,Mato Grosso do Sul
83581,08/04/2020,Entre 16 a 21 anos,Ibema,Paraná
83718,21/01/2021,Entre 50 a 61 anos,São Miguel dos Milagres,Alagoas
83788,09/02/2018,Entre 10 a 15 anos,Ibema,Paraná
83808,06/12/2018,Mais de 70 anos,Nina Rodrigues,Maranhão
83830,04/08/2019,Entre 16 a 21 anos,Barão de Antonina,São Paulo
83858,22/08/2018,Entre 28 a 36 anos,Caraúbas do Piauí,Piauí
83866,14/01/2018,Entre 37 a 49 anos,Itapiúna,Ceará
83890,26/10/2019,Mais de 70 anos,São Pedro do Butiá,Rio Grande do Sul
83963,22/10/2020,Entre 28 a 36 anos,Arenópolis,Goiás
84006,08/10/2020,Entre 16 a 21 anos,Andradina,São Paulo
84106,20/07/2021,Entre 28 a 36 anos,Bonfim do Piauí,Piauí
84157,19/10/2018,Entre 16 a 21 anos,Centenário do Sul,Paraná
84166,19/10/2020,Entre 28 a 36 anos,Itabuna,Bahia
84323,30/05/2021,Entre 62 a 70 anos,Palmeirópolis,Tocantins
84336,29/01/2021,Entre 50 a 61 anos,Nilo Peçanha,Bahia
84353,11/04/2020,Entre 50 a 61 anos,Água Comprida,Minas Gerais
84364,20/09/2020,Entre 37 a 49 anos,Terra Roxa,Paraná
84385,07/02/2021,Entre 50 a 61 anos,São Domingos do Prata,Minas Gerais
84391,01/02/2021,Mais de 70 anos,Rio Negrinho,Santa Catarina
84400,19/12/2019,Entre 37 a 49 anos,Pindorama do Tocantins,Tocantins
84460,26/08/2018,Mais de 70 anos,Doresópolis,Minas Gerais
84628,15/01/2019,Entre 50 a 61 anos,Coxixola,Paraíba
84660,03/06/2020,Entre 22 a 27 anos,Nova Olinda,Ceará
84665,23/02/2020,Entre 50 a 61 anos,Vigia,Pará
84690,09/09/2020,Mais de 70 anos,Doutor Pedrinho,Santa Catarina
84713,20/02/2019,Mais de 70 anos,Santa Terezinha do Tocantins,Tocantins
84829,10/10/2019,Entre 28 a 36 anos,Cássia,Minas Gerais
84835,31/08/2020,Entre 50 a 61 anos,Canutama,Amazonas
84850,01/04/2019,Entre 28 a 36 anos,Capanema,Pará
84885,20/02/2019,Entre 10 a 15 anos,Itajá,Rio Grande do Norte
84915,14/04/2019,Entre 16 a 21 anos,Ribeirão dos Índios,São Paulo
84917,20/01/2019,Entre 10 a 15 anos,São José do Campestre,Rio Grande do Norte
85012,12/06/2019,Entre 10 a 15 anos,Lupércio,São Paulo
85076,04/01/2021,Entre 22 a 27 anos,Sapopema,Paraná
85105,07/10/2019,Entre 50 a 61 anos,Aiuruoca,Minas Gerais
85106,24/08/2019,Entre 37 a 49 anos,Sobrália,Minas Gerais
85132,10/11/2018,Entre 16 a 21 anos,Pereiras,São Paulo
85145,10/03/2019,Entre 62 a 70 anos,Rio Bom,Paraná
85230,03/02/2021,Entre 16 a 21 anos,Formosa da Serra Negra,Maranhão
85233,16/05/2021,Entre 50 a 61 anos,Novo Oriente do Piauí,Piauí
85250,24/11/2020,Entre 10 a 15 anos,Buenos Aires,Pernambuco
85301,31/08/2020,Entre 62 a 70 anos,Ibaretama,Ceará
85309,05/01/2019,Mais de 70 anos,Bragança Paulista,São Paulo
85339,14/01/2019,Entre 50 a 61 anos,Pedra Mole,Sergipe
85358,09/03/2018,Entre 37 a 49 anos,Muriaé,Minas Gerais
85387,25/01/2020,Entre 10 a 15 anos,Diamante do Sul,Paraná
85409,27/06/2019,Entre 62 a 70 anos,Faxinal,Paraná
85411,10/07/2020,Entre 50 a 61 anos,Anicuns,Goiás
85415,08/10/2020,Entre 50 a 61 anos,São Lourenço da Serra,São Paulo
85419,10/03/2019,Entre 16 a 21 anos,Manoel Viana,Rio Grande do Sul
85472,14/08/2019,Entre 28 a 36 anos,Três Lagoas,Mato Grosso do Sul
85541,24/03/2020,Entre 10 a 15 anos,Anamã,Amazonas
85574,12/03/2019,Entre 62 a 70 anos,São João do Pau d'Alho,São Paulo
85590,17/12/2020,Entre 28 a 36 anos,Pinhal Grande,Rio Grande do Sul
85662,29/07/2021,Entre 16 a 21 anos,Vila Rica,Mato Grosso
85693,25/11/2019,Entre 28 a 36 anos,Goianinha,Rio Grande do Norte
85701,01/07/2019,Entre 16 a 21 anos,Vila Nova do Sul,Rio Grande do Sul
85751,17/05/2018,Entre 28 a 36 anos,Alto Alegre dos Parecis,Rondônia
85822,12/04/2021,Mais de 70 anos,Felisburgo,Minas Gerais
85825,26/01/2018,Entre 28 a 36 anos,Mormaço,Rio Grande do Sul
85827,03/06/2020,Entre 62 a 70 anos,Pindorama,São Paulo
85935,18/05/2019,Entre 10 a 15 anos,São Domingos,Paraíba
85970,01/08/2020,Entre 10 a 15 anos,Marquinho,Paraná
85979,05/05/2021,Entre 16 a 21 anos,São José do Calçado,Espírito Santo
86076,17/11/2018,Entre 22 a 27 anos,Jequitaí,Minas Gerais
86132,11/04/2019,Entre 10 a 15 anos,Camaçari,Bahia
86168,01/03/2018,Entre 28 a 36 anos,Guarantã,São Paulo
86258,20/05/2018,Entre 10 a 15 anos,Itiquira,Mato Grosso
86270,19/02/2021,Entre 10 a 15 anos,Barra do Choça,Bahia
86372,07/03/2018,Entre 37 a 49 anos,Herveiras,Rio Grande do Sul
86384,05/12/2018,Entre 62 a 70 anos,Sertanópolis,Paraná
86432,03/08/2018,Entre 62 a 70 anos,Cruzeiro do Sul,Rio Grande do Sul
86458,21/09/2020,Entre 50 a 61 anos,Venda Nova do Imigrante,Espírito Santo
86459,14/01/2021,Entre 62 a 70 anos,Colorado do Oeste,Rondônia
86504,08/01/2019,Entre 37 a 49 anos,Serranópolis,Goiás
86566,26/04/2021,Entre 62 a 70 anos,Três Cachoeiras,Rio Grande do Sul
86583,24/03/2021,Entre 10 a 15 anos,Toledo,Minas Gerais
86587,07/08/2018,Entre 50 a 61 anos,São Domingos do Cariri,Paraíba
86626,01/01/2019,Entre 16 a 21 anos,Carmésia,Minas Gerais
86648,11/11/2020,Entre 28 a 36 anos,Uruoca,Ceará
86667,31/10/2019,Entre 10 a 15 anos,Elói Mendes,Minas Gerais
86670,10/07/2019,Entre 10 a 15 anos,Cabeceiras do Piauí,Piauí
86738,15/01/2019,Entre 37 a 49 anos,São Manoel do Paraná,Paraná
86937,27/08/2019,Entre 16 a 21 anos,Brejo,Maranhão
86980,04/08/2020,Entre 62 a 70 anos,Igaratinga,Minas Gerais
86995,05/03/2021,Entre 10 a 15 anos,Arenápolis,Mato Grosso
87027,12/10/2018,Entre 37 a 49 anos,Moita Bonita,Sergipe
87082,05/08/2020,Mais de 70 anos,Anitápolis,Santa Catarina
87120,22/03/2020,Entre 37 a 49 anos,Camanducaia,Minas Gerais
87284,04/01/2020,Entre 10 a 15 anos,Matriz de Camaragibe,Alagoas
87345,16/08/2020,Entre 16 a 21 anos,Quirinópolis,Goiás
87357,26/10/2019,Entre 22 a 27 anos,Santa Cruz das Palmeiras,São Paulo
87360,04/05/2020,Entre 22 a 27 anos,Santa Cecília do Pavão,Paraná
87391,16/07/2021,Mais de 70 anos,Cocalzinho de Goiás,Goiás
87443,29/06/2021,Entre 16 a 21 anos,Rio Formoso,Pernambuco
87483,29/09/2020,Entre 37 a 49 anos,Bodoquena,Mato Grosso do Sul
87522,03/06/2019,Mais de 70 anos,Pingo-d'Água,Minas Gerais
87546,12/05/2021,Entre 22 a 27 anos,Triunfo,Rio Grande do Sul
87554,25/09/2019,Entre 10 a 15 anos,Jacinto,Minas Gerais
87568,27/05/2018,Entre 50 a 61 anos,Piraju,São Paulo
87620,04/10/2019,Entre 62 a 70 anos,Nepomuceno,Minas Gerais
87722,03/02/2020,Entre 10 a 15 anos,Cláudia,Mato Grosso
87772,28/03/2021,Mais de 70 anos,Tufilândia,Maranhão
87798,29/11/2019,Entre 62 a 70 anos,Dolcinópolis,São Paulo
87823,21/10/2020,Entre 10 a 15 anos,São Luiz Gonzaga,Rio Grande do Sul
87866,22/05/2018,Entre 37 a 49 anos,Natividade,Rio de Janeiro
87909,31/03/2020,Entre 50 a 61 anos,Juiz de Fora,Minas Gerais
87933,14/03/2018,Mais de 70 anos,Itaipulândia,Paraná
87935,16/03/2018,Entre 16 a 21 anos,Comendador Gomes,Minas Gerais
87943,28/09/2020,Entre 16 a 21 anos,Águas de São Pedro,São Paulo
88022,05/09/2019,Mais de 70 anos,São Domingos do Cariri,Paraíba
88069,26/12/2018,Mais de 70 anos,Tabocão,Tocantins
88107,29/04/2021,Entre 16 a 21 anos,Barra de São Miguel,Alagoas
88114,19/11/2020,Entre 37 a 49 anos,Cascavel,Ceará
88143,02/09/2019,Entre 50 a 61 anos,Luzinópolis,Tocantins
88187,19/05/2021,Entre 10 a 15 anos,Teixeirópolis,Rondônia
88205,29/01/2018,Entre 50 a 61 anos,Rondinha,Rio Grande do Sul
88240,19/05/2019,Mais de 70 anos,Miradouro,Minas Gerais
88329,28/05/2018,Entre 62 a 70 anos,Alfredo Wagner,Santa Catarina
88350,19/07/2018,Entre 37 a 49 anos,Sirinhaém,Pernambuco
88389,25/08/2020,Mais de 70 anos,Piranguçu,Minas Gerais
88432,17/06/2018,Entre 37 a 49 anos,Pesqueira,Pernambuco
88608,23/12/2018,Entre 50 a 61 anos,Espinosa,Minas Gerais
88698,26/08/2020,Entre 28 a 36 anos,Luiz Alves,Santa Catarina
88719,01/10/2020,Entre 10 a 15 anos,Nova Trento,Santa Catarina
88731,16/02/2019,Entre 37 a 49 anos,Paraíso das Águas,Mato Grosso do Sul
88803,19/09/2020,Entre 10 a 15 anos,Catende,Pernambuco
88883,14/04/2020,Entre 37 a 49 anos,Tapira,Paraná
88977,02/01/2020,Entre 50 a 61 anos,Cristalândia do Piauí,Piauí
88997,15/10/2020,Entre 10 a 15 anos,Rodeiro,Minas Gerais
89041,11/09/2018,Entre 62 a 70 anos,Sobrado,Paraíba
89064,12/12/2020,Entre 28 a 36 anos,Caparaó,Minas Gerais
89068,04/03/2019,Entre 10 a 15 anos,Inhangapi,Pará
89078,13/04/2018,Entre 37 a 49 anos,Cristianópolis,Goiás
89115,14/11/2019,Entre 62 a 70 anos,Cabaceiras,Paraíba
89233,21/04/2020,Entre 37 a 49 anos,Felício dos Santos,Minas Gerais
89277,03/05/2020,Entre 37 a 49 anos,Morro Agudo de Goiás,Goiás
89448,22/12/2019,Entre 22 a 27 anos,Toropi,Rio Grande do Sul
89456,12/04/2021,Entre 22 a 27 anos,Santo Ângelo,Rio Grande do Sul
89465,01/07/2019,Entre 10 a 15 anos,Porto Rico,Paraná
89488,11/01/2019,Mais de 70 anos,Cascavel,Ceará
89511,02/12/2020,Entre 16 a 21 anos,Ilha de Itamaracá,Pernambuco
89534,28/08/2020,Entre 50 a 61 anos,Embaúba,São Paulo
89547,05/05/2020,Entre 16 a 21 anos,Bacabeira,Maranhão
89620,15/06/2019,Entre 37 a 49 anos,Balneário Arroio do Silva,Santa Catarina
89738,13/07/2021,Entre 37 a 49 anos,Douradina,Paraná
89748,05/04/2020,Entre 28 a 36 anos,Santa Rita do Itueto,Minas Gerais
90094,12/01/2019,Entre 50 a 61 anos,Morada Nova,Ceará
90133,19/02/2020,Entre 50 a 61 anos,Jampruca,Minas Gerais
90173,04/02/2018,Mais de 70 anos,Japaraíba,Minas Gerais
90218,04/01/2020,Entre 62 a 70 anos,Planalto,Bahia
90235,03/11/2020,Entre 28 a 36 anos,Picuí,Paraíba
90285,02/06/2021,Mais de 70 anos,Mata Roma,Maranhão
90653,01/10/2019,Entre 16 a 21 anos,Barra de Santana,Paraíba
90680,12/09/2020,Entre 62 a 70 anos,Augusto de Lima,Minas Gerais
90693,14/08/2018,Entre 37 a 49 anos,Chorozinho,Ceará
90709,22/02/2021,Entre 10 a 15 anos,São José do Rio Preto,São Paulo
90712,29/05/2021,Entre 22 a 27 anos,Uarini,Amazonas
90812,01/10/2020,Mais de 70 anos,Lins,São Paulo
90817,25/10/2020,Entre 37 a 49 anos,Jaguaraçu,Minas Gerais
90878,01/07/2019,Entre 62 a 70 anos,Bom Sucesso,Paraíba
90905,11/06/2020,Entre 22 a 27 anos,Esperança Nova,Paraná
90946,17/04/2018,Entre 28 a 36 anos,Leme,São Paulo
91125,13/07/2019,Mais de 70 anos,Belo Horizonte,Minas Gerais
91136,18/08/2018,Entre 37 a 49 anos,Mendes,Rio de Janeiro
91155,13/01/2019,Entre 22 a 27 anos,Resende,Rio de Janeiro
91203,08/07/2020,Entre 50 a 61 anos,Sabáudia,Paraná
91404,06/03/2020,Entre 22 a 27 anos,Realeza,Paraná
91479,15/05/2021,Entre 22 a 27 anos,Uruaçu,Goiás
91482,29/10/2018,Entre 37 a 49 anos,Lauro Müller,Santa Catarina
91548,21/06/2021,Entre 50 a 61 anos,Pescaria Brava,Santa Catarina
91618,30/05/2019,Entre 28 a 36 anos,Taboleiro Grande,Rio Grande do Norte
91731,09/04/2019,Entre 50 a 61 anos,Turmalina,São Paulo
91757,04/03/2019,Entre 10 a 15 anos,Capela do Alto Alegre,Bahia
91773,25/02/2020,Entre 50 a 61 anos,Dores do Indaiá,Minas Gerais
91785,30/12/2018,Entre 10 a 15 anos,Corguinho,Mato Grosso do Sul
91828,28/11/2019,Entre 62 a 70 anos,Funilândia,Minas Gerais
91891,30/04/2018,Entre 28 a 36 anos,Bragança Paulista,São Paulo
91897,16/07/2019,Entre 50 a 61 anos,Aurora do Pará,Pará
91933,04/01/2020,Entre 50 a 61 anos,Rio Bonito do Iguaçu,Paraná
91945,14/10/2019,Entre 22 a 27 anos,Tenente Laurentino Cruz,Rio Grande do Norte
91950,31/07/2019,Entre 50 a 61 anos,Lajedinho,Bahia
91973,12/01/2020,Entre 28 a 36 anos,Cesário Lange,São Paulo
92024,09/08/2018,Entre 37 a 49 anos,Anhanguera,Goiás
92155,30/09/2020,Mais de 70 anos,Barro Duro,Piauí
92333,04/08/2020,Entre 62 a 70 anos,Wagner,Bahia
92404,03/07/2021,Entre 16 a 21 anos,Verdejante,Pernambuco
92441,09/09/2019,Entre 37 a 49 anos,São José dos Quatro Marcos,Mato Grosso
92447,18/10/2019,Mais de 70 anos,Divisópolis,Minas Gerais
92454,01/07/2021,Entre 50 a 61 anos,Ouro Verde,Santa Catarina
92477,15/04/2019,Entre 37 a 49 anos,Herculândia,São Paulo
92574,01/04/2019,Entre 50 a 61 anos,Campo Redondo,Rio Grande do Norte
92576,19/03/2018,Entre 10 a 15 anos,Uberlândia,Minas Gerais
92628,31/01/2019,Entre 37 a 49 anos,Divisópolis,Minas Gerais
92722,29/01/2019,Entre 16 a 21 anos,Garopaba,Santa Catarina
92771,02/01/2018,Mais de 70 anos,Barão de Cocais,Minas Gerais
92796,22/04/2019,Entre 16 a 21 anos,Santa Tereza do Oeste,Paraná
92818,06/05/2020,Entre 62 a 70 anos,Pedro Afonso,Tocantins
92827,02/07/2018,Entre 37 a 49 anos,Frecheirinha,Ceará
92830,04/10/2019,Entre 10 a 15 anos,Santo Antônio,Rio Grande do Norte
92901,08/09/2020,Mais de 70 anos,Terra Boa,Paraná
92928,06/05/2018,Entre 50 a 61 anos,Palestina de Goiás,Goiás
92931,29/04/2018,Entre 62 a 70 anos,São Francisco de Itabapoana,Rio de Janeiro
92949,26/02/2020,Entre 10 a 15 anos,São José do Goiabal,Minas Gerais
92979,21/12/2020,Entre 28 a 36 anos,Itaquiraí,Mato Grosso do Sul
93053,26/01/2020,Entre 16 a 21 anos,Cafarnaum,Bahia
93080,21/12/2018,Mais de 70 anos,Várzea da Roça,Bahia
93084,11/01/2019,Entre 10 a 15 anos,Cajobi,São Paulo
93098,14/02/2019,Entre 22 a 27 anos,Nova Petrópolis,Rio Grande do Sul
93157,06/04/2021,Mais de 70 anos,Alto Taquari,Mato Grosso
93229,13/04/2019,Mais de 70 anos,Mostardas,Rio Grande do Sul
93416,13/04/2018,Entre 62 a 70 anos,Lagoão,Rio Grande do Sul
93418,29/11/2019,Entre 16 a 21 anos,Fartura do Piauí,Piauí
93446,06/01/2020,Entre 62 a 70 anos,Novo Cruzeiro,Minas Gerais
93591,18/12/2020,Entre 37 a 49 anos,Itapetininga,São Paulo
93607,13/02/2018,Mais de 70 anos,Bom Jesus do Galho,Minas Gerais
93630,08/05/2020,Entre 62 a 70 anos,Quarto Centenário,Paraná
93687,08/03/2020,Entre 62 a 70 anos,Paramirim,Bahia
93699,05/12/2018,Entre 16 a 21 anos,Aroazes,Piauí
93737,22/03/2019,Entre 16 a 21 anos,Coronel Vivida,Paraná
93741,21/11/2020,Entre 10 a 15 anos,Juruti,Pará
93751,06/02/2019,Entre 10 a 15 anos,Botumirim,Minas Gerais
93871,17/05/2021,Entre 28 a 36 anos,Sarapuí,São Paulo
93956,02/12/2020,Entre 62 a 70 anos,Santo Antônio do Caiuá,Paraná
93972,25/12/2018,Entre 62 a 70 anos,Nova Itaberaba,Santa Catarina
94003,16/12/2018,Entre 22 a 27 anos,São Martinho da Serra,Rio Grande do Sul
94058,31/10/2019,Entre 28 a 36 anos,Mansidão,Bahia
94125,08/06/2020,Entre 10 a 15 anos,Garuva,Santa Catarina
94169,24/06/2019,Entre 22 a 27 anos,Ubaíra,Bahia
94269,04/10/2019,Entre 10 a 15 anos,Beberibe,Ceará
94354,03/07/2018,Entre 10 a 15 anos,São Julião,Piauí
94455,18/05/2018,Entre 37 a 49 anos,Paranavaí,Paraná
94531,14/06/2020,Entre 10 a 15 anos,Barroquinha,Ceará
94566,16/11/2019,Entre 16 a 21 anos,Conselheiro Pena,Minas Gerais
94639,14/10/2019,Entre 28 a 36 anos,Riacho de Santana,Bahia
94648,02/07/2019,Entre 22 a 27 anos,Mariluz,Paraná
94649,17/08/2018,Entre 37 a 49 anos,Quarto Centenário,Paraná
94764,08/10/2018,Mais de 70 anos,Madre de Deus de Minas,Minas Gerais
94812,13/11/2019,Mais de 70 anos,Morro da Fumaça,Santa Catarina
94898,17/03/2021,Entre 22 a 27 anos,São João do Manteninha,Minas Gerais
94978,09/12/2018,Mais de 70 anos,Ouro Verde de Goiás,Goiás
95011,04/01/2018,Mais de 70 anos,Rio Branco do Ivaí,Paraná
95028,16/02/2018,Mais de 70 anos,Paraí,Rio Grande do Sul
95089,31/12/2020,Entre 22 a 27 anos,Loreto,Maranhão
95163,28/05/2020,Entre 28 a 36 anos,Paty do Alferes,Rio de Janeiro
95221,02/04/2021,Entre 62 a 70 anos,Peixe-Boi,Pará
95273,29/12/2019,Entre 62 a 70 anos,Edealina,Goiás
95275,05/04/2019,Entre 16 a 21 anos,Vera Cruz,Rio Grande do Sul
95348,02/02/2018,Entre 22 a 27 anos,Piratuba,Santa Catarina
95431,22/04/2019,Entre 62 a 70 anos,Tupandi,Rio Grande do Sul
95550,22/11/2020,Entre 62 a 70 anos,Valença,Rio de Janeiro
95624,12/08/2020,Entre 28 a 36 anos,Patrocínio do Muriaé,Minas Gerais
95651,17/05/2020,Entre 10 a 15 anos,Luís Domingues,Maranhão
95676,31/03/2019,Entre 62 a 70 anos,Nicolau Vergueiro,Rio Grande do Sul
95677,07/08/2018,Entre 16 a 21 anos,Argirita,Minas Gerais
95820,26/03/2021,Entre 50 a 61 anos,São Tiago,Minas Gerais
95840,07/01/2020,Entre 37 a 49 anos,Monte Castelo,Santa Catarina
